NazwaInstytucji,NrRozliczeniowy,Miejscowosc
Bank Polska Kasa Opieki Spółka Akcyjna,12406218,"Warszawa, Al. Jerozolimskie 65/79, 00-697"
Alior Bank Spółka Akcyjna,10602777,"Warszawa, ul. Łopuszańska 38D, 02-232"
Bank Spółdzielczy w Lipce,89430004,"Lipka, ul. Kościuszki 35, 77-420"
Bank Polska Kasa Opieki Spółka Akcyjna,12406250,"Warszawa, ul. Dereniowa 9, 02-776"
Bank Spółdzielczy w Porąbce,81240009,"Porąbka, ul. Rynek 5, 43-353"
Bank Spółdzielczy we Wschowie,86690001,"Wschowa, ul. Daszyńskiego 19, 67-400"
Pieniński Bank Spółdzielczy,88171010,"Maniowy, ul. Gorczańska 5, 34-436"
Bank Gospodarstwa Krajowego,11301222,"Zielona Góra, ul. Kupiecka 32C, 65-058"
Santander Bank Polska Spółka Akcyjna,10902079,"Głogów, ul. Obrońców Pokoju 12, 67-200"
mBank Spółka Akcyjna,11401238,"Aleksandrów Łódzki, ul. Piotrkowska 22, 95-070"
Bank Polska Kasa Opieki Spółka Akcyjna,12404722,"Kraków, ul. Pijarska 1, 31-015"
Bank Spółdzielczy w Witkowie,85380002,"Witkowo, ul. Stary Rynek 14, 62-230"
Bank Polska Kasa Opieki Spółka Akcyjna,12405064,"Myślenice, ul. Gałczyńskiego 9, 32-400"
Bank Polska Kasa Opieki Spółka Akcyjna,12406465,"Nakło nad Notecią, ul. gen. Henryka Dąbrowskiego 17-23, 89-100"
Santander Bank Polska Spółka Akcyjna,10902516,"Wrocław, ul. Legnicka 51-53, 54-203"
Częstochowski Bank Spółdzielczy JURA BANK,82671022,"Kobiele Wielkie, ul. Reymonta 79, 97-524"
Bank Spółdzielczy w Poniatowej,87351017,"Wojciechów, Wojciechów 140, 24-204"
Bank Polska Kasa Opieki Spółka Akcyjna,12403800,"Lębork, ul. Armii Krajowej 18, 84-300"
Bank Polska Kasa Opieki Spółka Akcyjna,12402005,"Zamość, ul. Grodzka 2, 22-400"
Bank Spółdzielczy w Otmuchowie,88720003,"Otmuchów, Rynek 1B, 48-385"
Bank Ochrony Środowiska Spółka Akcyjna,15401085,"Szczecin, al. Papieża Jana Pawła II 6, 70-415"
Bank Polska Kasa Opieki Spółka Akcyjna,12405859,"Myszyniec, pl. Wolności 60, 07-430"
Bank Polska Kasa Opieki Spółka Akcyjna,12405628,"Ostrów Mazowiecka, ul. Grota-Roweckiego 1, 07-300"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10201592,"Ciechanów, ul. Pułtuska 20, 06-400"
Santander Bank Polska Spółka Akcyjna,10902776,"Suwałki, ul. Tadeusza Kościuszki 49, 16-400"
Alior Bank Spółka Akcyjna,10600180,"Warszawa, ul. Łopuszańska 38D, 02-232"
Santander Consumer Bank Spółka Akcyjna,19601056,"Wrocław, ul. Trzemeska 10, 53-679"
Bank Spółdzielczy w Kłodzku,95231011,"Duszniki-Zdrój, Rynek 4, 57-340"
Bank Spółdzielczy w Gorlicach,88070007,"Łużna, Łużna 409, 38-322"
Bank Polska Kasa Opieki Spółka Akcyjna,12403594,"Skwierzyna, ul. Piłsudskiego 11, 66-400"
Bank Spółdzielczy w Leśnicy,89071018,"Jemielnica, ul. Strzelecka 50B, 47-133"
Bank Spółdzielczy w Mińsku Mazowieckim,92230008,"Dobre, ul. Kościuszki 31, 05-307"
Bank Spółdzielczy w Środzie Śląskiej,95891039,"Udanin, Udanin 82A, 59-259"
Bank Spółdzielczy w Kowalu,95571016,"Koneck, Koneck 22, 87-702"
Bank Spółdzielczy w Tarnowskich Górach,84630005,"Tarnowskie Góry, ul. Bytomska 6, 42-600"
Bank Polska Kasa Opieki Spółka Akcyjna,12404878,"Sucha Beskidzka, ul. Adama Mickiewicza 48, 34-200"
Bank Polska Kasa Opieki Spółka Akcyjna,12406247,"Warszawa, ul. Emilii Plater 53, 00-113"
BNP Paribas Bank Polska Spółka Akcyjna,17501152,"Gdańsk, ul. Rajska 4, 80-850"
Bank Spółdzielczy Ziemi Łowickiej w Łowiczu,92881082,"Jeżów, ul. Pisarskiego 14, 95-047"
Bank Spółdzielczy w Błaszkach,92450002,"Błaszki, pl. Niepodległości 33, 98-235"
Bank Spółdzielczy w Grybowie,87970003,"Grybów, ul. Rynek 13, 33-330"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10203147,"Lublin, ul. Krakowskie Przedmieście 14, 20-002"
SGB-Bank Spółka Akcyjna,16101120,"Poznań, ul. Seweryna Mielżyńskiego 22, 61-725"
Alior Bank Spółka Akcyjna,10600395,"Warszawa, ul. Łopuszańska 38D, 02-232"
Bank Spółdzielczy w Goleniowie,93751054,"Maszewo, ul. Jedności Narodowej 5, 72-130"
Bank Polska Kasa Opieki Spółka Akcyjna,12405761,"Szczytno, ul. Sienkiewicza 6A, 12-100"
ING Bank Śląski Spółka Akcyjna,10501807,"Olsztyn, ul. Towarowa 1, 10-416"
Bank Spółdzielczy Ziemi Łowickiej w Łowiczu,92881066,"Nieborów, ul. Aleja Lipowa 94, 99-416"
Bank Spółdzielczy w Samsonowie,85120002,"Samsonów, Samsonów 32, 26-050"
PLUS BANK Spółka Akcyjna,16800023,"Warszawa, Aleja Stanów Zjednoczonych 61A, 04-028"
Bank Polska Kasa Opieki Spółka Akcyjna,12405846,"Łomża, ul. Aleja Legionów 5, 18-400"
Bank Spółdzielczy w Leśnicy,88910000,"Głuchołazy, ul. Prymasa Stefana Wyszyńskiego 6, 48-340"
Bank Gospodarstwa Krajowego,11301075,"Toruń, ul. Grudziądzka 1,3, 87-100"
Bank Nowy Spółka Akcyjna,28700003,"Poznań, ul. Małe Garbary 8, 61-756"
Alior Bank Spółka Akcyjna,24901015,"Warszawa, ul. Łopuszańska 38D, 02-232"
Bank Polska Kasa Opieki Spółka Akcyjna,12405530,"Pabianice, ul. Zamkowa 7, 95-200"
DNB Bank Polska Spółka Akcyjna,13701226,"Warszawa, ul. Postępu 15C, 26-900"
Alior Bank Spółka Akcyjna,10600164,"Warszawa, ul. Łopuszańska 38D, 02-232"
Bank Spółdzielczy w Bydgoszczy,81421046,"Sicienko, ul. Mrotecka 2, 86-014"
Santander Bank Polska Spółka Akcyjna,10901838,"Nowy Targ, ul. Królowej Jadwigi 17, 34-403"
Bank Polska Kasa Opieki Spółka Akcyjna,12402685,"Siedlce, ul. Wojskowa 24, 08-110"
BANK POLSKIEJ SPÓŁDZIELCZOŚCI SPÓŁKA AKCYJNA,19301086,"Łódź, ul. Żwirki 2, 90-450"
Gospodarczy Bank Spółdzielczy w Gorzowie Wielkopolskim,83630004,"Gorzów Wielkopolski, ul. gen. Władysława Sikorskiego 7, 66-400"
Rejonowy Bank Spółdzielczy w Malanowie,85570009,"Malanów, ul. Turecka 10, 62-709"
Bank Spółdzielczy w Ostrowi Mazowieckiej,89231021,"Małkinia Górna, ul. Nurska 42, 07-320"
Bank Spółdzielczy w Koronowie,81440005,"Koronowo, pl. Zwycięstwa 12, 86-010"
Bank Spółdzielczy Grodków-Łosiów z siedzibą w Grodkowie,88700005,"Grodków, ul. Kasztanowa 18, 49-200"
Santander Bank Polska Spółka Akcyjna,10902792,"Ełk, ul. Juliusza Słowackiego 15F, 19-300"
Bank Spółdzielczy w Łańcucie,91770008,"Łańcut, ul. Mickiewicza 4, 37-100"
Bank Spółdzielczy w Bieczu,86270001,"Biecz, ul. Rynek 15, 38-340"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10205402,"Zielona Góra, ul. Żeromskiego 2, 65-066"
Bank Spółdzielczy w Radomiu,91470009,"Radom, ul. Czachowskiego 21A, 26-600"
Bank Spółdzielczy w Kątach Wrocławskich,95741015,"Sobótka, ul. Mickiewicza 19, 55-050"
Bank Polska Kasa Opieki Spółka Akcyjna,12404256,"Libiąż, ul. Wojska Polskiego 2, 32-590"
Spółdzielcza Kasa Oszczędnościowo-Kredytowa w Kostrzynie nad Odrą,70140008,"Kostrzyn nad Odrą, ul. Fabryczna 1, 66-470"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10203974,"Płock, ul. 3 Maja 14, 09-402"
Mercedes-Benz Bank Polska Spółka Akcyjna w likwidacji,15800006,"Warszawa, ul. Gottlieba Daimlera 1, 02-460"
ING Bank Śląski Spółka Akcyjna,10501490,"Nysa, ul. Celna 28, 48-300"
Bank Spółdzielczy w Szubinie,81640001,"Szubin, ul. Kcyńska 30, 89-200"
Bank Spółdzielczy w Poniecu,86820004,"Poniec, ul. Kościuszki 12, 64-125"
Bank Polska Kasa Opieki Spółka Akcyjna,12404331,"Tychy, ul. Wyszyńskiego  27, 43-100"
Bank Polska Kasa Opieki Spółka Akcyjna,12406292,"Warszawa, ul. Towarowa 25, 00-958"
Bank Handlowy w Warszawie Spółka Akcyjna,10301045,"Warszawa, ul. Senatorska 16, 00-923"
Bank Polska Kasa Opieki Spółka Akcyjna,12405631,"Wyszków, ul. Gen.Sowińskiego 81A, 07-200"
Bank Spółdzielczy Ziemi Łowickiej w Łowiczu,93041012,"Baranów, ul. Bankowa 1, 96-314"
Bank Spółdzielczy w Mszanie Dolnej,88081029,"Niedźwiedź, Niedźwiedź 233, 34-735"
Bank Polska Kasa Opieki Spółka Akcyjna,12401789,"Radom, ul. A.Struga 26/28, 26-600"
Santander Bank Polska Spółka Akcyjna,10901740,"Bielsko-Biała, ul. 11 Listopada 102, 43-300"
Bank Polska Kasa Opieki Spółka Akcyjna,12406683,"Wrocław, ul. Sucha 1, 50-086"
Bank Gospodarstwa Krajowego,11300007,"Warszawa, Al. Jerozolimskie 7, 00-955"
Bank Polska Kasa Opieki Spółka Akcyjna,12404038,"Zielona Góra, ul. Fryderyka Chopina 21, 65-032"
Bank Polska Kasa Opieki Spółka Akcyjna,12406003,"Warszawa, ul. Marszałkowska 89, 00-693"
Bank Polska Kasa Opieki Spółka Akcyjna,12406696,"Wrocław, ul. Sucha 1, 50-086"
Bank Polska Kasa Opieki Spółka Akcyjna,12406120,"Warszawa, ul. Modlińska 199, 03-122"
EUROCLEAR Bank SA/NV (Spółka Akcyjna) - Oddział w Polsce,26500005,"Kraków, ul. Puszkarska 7L, 30-644"
Bank Spółdzielczy w Namysłowie,88670005,"Branice, ul. M.Curie-Skłodowskiej 8, 48-140"
Bank Spółdzielczy w Rajczy,81250008,"Rajcza, ul. Górska 5, 34-370"
ING Bank Śląski Spółka Akcyjna,10501416,"Kielce, al. IX Wieków Kielc 4a, 25-516"
ING Bank Śląski Spółka Akcyjna,10501722,"Nowy Sącz, ul. Tadeusza Kościuszki 13, 33-300"
Bank Spółdzielczy w Węgorzewie,93500001,"Mikołajki, ul. Kajki 7, 11-730"
Bank Spółdzielczy w Ząbkowicach Śląskich,95331069,"Złoty Stok, ul. Wojska Polskiego 14, 57-250"
Bank Spółdzielczy w Jarosławiu,91080006,"Roźwienica, Roźwienica 173, 37-565"
Powiatowy Bank Spółdzielczy w Zamościu,96441059,"Skierbieszów, ul. Rynek 1, 22-420"
Narodowy Bank Polski,10101212,"Katowice, ul. Bankowa 1, 40-007"
EXPRESS BANK SPÓŁDZIELCZY,91761048,"Krasne, Krasne 121, 36-007"
Bank Spółdzielczy w Chynowie,91210009,"Chynów, ul. Główna 62, 05-650"
Bank Spółdzielczy w Suwałkach,93590002,"Suwałki, ul. Utrata 4, 16-400"
Bank Polska Kasa Opieki Spółka Akcyjna,12403578,"Międzyrzecz, ul. Poznańska 1, 66-300"
BNP Paribas Bank Polska Spółka Akcyjna,16001055,"Katowice, ul. Chorzowska 6, 40-101"
Bank Polska Kasa Opieki Spółka Akcyjna,12405918,"Warszawa, ul. Towarowa 25, 00-958"
PLUS BANK Spółka Akcyjna,16801310,"Poznań, ul. Zwierzyniecka 18, 60-814"
Bank Spółdzielczy w Łasinie,95000008,"Łasin, ul. Odrodzenia Polski 5, 86-320"
Santander Bank Polska Spółka Akcyjna,15001807,"Zamość, ul. Partyzantów 12, 22-400"
Bank Spółdzielczy w Łukowej,96190003,"Łukowa, Łukowa 547, 23-412"
Bank Polska Kasa Opieki Spółka Akcyjna,12403709,"Czarnków, ul. Kościuszki 61A, 64-700"
Mazowiecki Bank Spółdzielczy w Łomiankach,80090007,"Łomianki, ul. Szpitalna 8, 05-092"
Spółdzielcza Kasa Oszczędnościowo-Kredytowa im. Eugeniusza Kwiatkowskiego,71190004,"Kraków, Aleja Jana Pawła II 190, 31-982"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10205561,"Warszawa, ul. Bagatela 15, 00-585"
Bank Spółdzielczy w Cycowie,81911068,"Michów, ul. Partyzancka 20, 21-140"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10204681,"Sławno, ul. Skłodowskiej-Curie 1, 76-100"
BNP Paribas Bank Polska Spółka Akcyjna,16001345,"Toruń, ul. Wały gen. Władysława Sikorskiego 15, 87-100"
Łódzki Bank Spółdzielczy,90230006,"Krośniewice, ul. Toruńska 5, 99-340"
Bank Spółdzielczy w Barcinie,81670008,"Barcin, ul. Kościelna 8, 88-190"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,14401084,"Warszawa, ul. Chłodna 52, 00-872"
Międzypowiatowy Bank Spółdzielczy w  Myszkowie,82791036,"Żarki, ul. Moniuszki 2, 42-310"
Bank Spółdzielczy w Ustce,93151030,"Główczyce, ul. Słupska 35, 76-220"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10204115,"Gniezno, ul. Chrobrego 12B, 62-200"
Bank Spółdzielczy w Miedźnej,84460006,"Miedźna, ul. Wiejska 2, 43-227"
Bank Pocztowy Spółka Akcyjna,13201120,"Bydgoszcz, ul. Jagiellońska 17, 85-959"
Bank Polska Kasa Opieki Spółka Akcyjna,12403129,"Opoczno, ul. Plac Kościuszki 16, 26-300"
Bank Polska Kasa Opieki Spółka Akcyjna,12401747,"Poznań, ul. Święty Marcin 52/56, 61-807"
Bank Polska Kasa Opieki Spółka Akcyjna,12406755,"Wrocław, ul. Oławska 2, 50-950"
Bank Spółdzielczy w Limanowej,88040000,"Limanowa, ul. Rynek 7, 34-600"
Bank Spółdzielczy w Węgierskiej Górce,81310005,"Węgierska Górka, ul. Zielona 45, 34-350"
PLUS BANK Spółka Akcyjna,16801277,"Warszawa, Aleja Stanów Zjednoczonych 61A, 04-028"
Powiatowy Bank Spółdzielczy w Zamościu,96441033,"Józefów k/Biłgoraja, ul. Bartoszewskiego 5, 23-460"
Santander Bank Polska Spółka Akcyjna,10902170,"Kluczbork, ul. Rynek 16, 46-200"
BFF Bank S.p.A. Spółka Akcyjna Oddział w Polsce,28500007,"Łódź, ul. Jana Kilińskiego 66, 90-118"
Bank Spółdzielczy w Jasieńcu,91300003,"Jasieniec, ul. Warecka 44, 05-604"
Santander Bank Polska Spółka Akcyjna,15002338,"Mława, ul. Joachima Lelewela 1, 06-500"
Bank Spółdzielczy w Ząbkowicach Śląskich,95331072,"Ziębice, Rynek 10, 57-220"
Powiatowy Bank Spółdzielczy w Kędzierzynie-Koźlu,88820006,"Kędzierzyn-Koźle, ul. Rynek 6A, 47-200"
Bank Spółdzielczy w Pilźnie,94771011,"Szerzyny, Szerzyny 524, 38-246"
Bank Spółdzielczy w Jutrosinie,86741019,"Pakosław, ul. Kolejowa 4, 63-920"
Santander Bank Polska Spółka Akcyjna,10901506,"Toruń, ul. Krasińskiego 2, 87-100"
Bank Spółdzielczy w Halinowie,80190000,"Halinów, ul. Piłsudskiego 36, 05-074"
Bałtycki Bank Spółdzielczy,85661026,"Trzebiatów, ul. Rynek 18, 72-320"
Pomorski Bank Spółdzielczy w Świdwinie,85811014,"Będzino, Będzino 84, 76-037"
Santander Bank Polska Spółka Akcyjna,10901492,"Szczecin, ul. Piłsudskiego 7, 70-422"
Santander Bank Polska Spółka Akcyjna,10901173,"Ostrzeszów, ul. Zamkowa 20, 63-500"
Bank Polska Kasa Opieki Spółka Akcyjna,12404823,"Sosnowiec, al. ks. Franciszka Blachnickiego 3, 41-219"
Bank Spółdzielczy Ziemi Łowickiej w Łowiczu,92881053,"Kocierzew, Kocierzew 92, 99-414"
Bank Polska Kasa Opieki Spółka Akcyjna,12402425,"Ryki, ul. Rynek Stary 39, 08-500"
Bank Spółdzielczy w Pułtusku,82320005,"Pułtusk, ul. Kościuszki 1, 06-100"
Bank Polska Kasa Opieki Spółka Akcyjna,12406869,"Gubin, ul. Nowa 2, 66-620"
Bank Spółdzielczy w Szumowie,87700004,"Szumowo, ul. sierż. pchor. Zygmunta Przeździeckiego 3, 18-305"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10200117,"Bydgoszcz, ul. Jagiellońska 21, 85-097"
Bank Spółdzielczy w Nowym Dworze Mazowieckim,80110008,"Nowy Dwór Mazowiecki, ul. Słowackiego 8, 05-100"
Bank Spółdzielczy w Białej,89030002,"Biała, ul. Prudnicka 29A, 48-210"
Bank Polska Kasa Opieki Spółka Akcyjna,12404214,"Kalwaria Zebrzydowska, Rynek 2, 34-130"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10204955,"Tarnów, ul. Słoneczna 28/30, 33-100"
Bank Polska Kasa Opieki Spółka Akcyjna,12403158,"Bełchatów, ul. 1 Maja 2, 97-400"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10202498,"Sosnowiec, ul. Kilińskiego 20, 41-200"
Bank Spółdzielczy w Głubczycach,88680004,"Głubczyce, ul. Sobieskiego 8, 48-100"
Bank Gospodarstwa Krajowego,11301088,"Poznań, ul. Składowa 5, 61-888"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10203802,"Ostrołęka, ul. Bogusławskiego 22, 07-400"
ING Bank Śląski Spółka Akcyjna,10500422,"Katowice, ul. Chorzowska 50, 40-101"
Bank Polska Kasa Opieki Spółka Akcyjna,12406319,"Warszawa, ul. Towarowa 25, 00-958"
Bank Polska Kasa Opieki Spółka Akcyjna,12406742,"Wrocław, ul. Ruska 51a, 50-079"
Bank Polska Kasa Opieki Spółka Akcyjna,12405194,"Tarnów, pl. Kazimierza Wielkiego 3a, 33-100"
Bank Polska Kasa Opieki Spółka Akcyjna,12403666,"Białogard, ul. Wojska Polskiego 15, 78-200"
ING Bank Śląski Spółka Akcyjna,10501591,"Zawiercie, ul. Leśna 6, 42-400"
Santander Bank Polska Spółka Akcyjna,10901812,"Chorzów, ul. Wolności 1A, 41-500"
AURET BANK Spółdzielczy,87800007,"Aleksandrów Łódzki, ul. Senatorska 2A, 95-070"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10205170,"Włocławek, ul. Okrzei 64, 87-800"
Bank Spółdzielczy w Łańcucie,91771021,"Białobrzegi, Białobrzegi 5, 37-114"
BANK POLSKIEJ SPÓŁDZIELCZOŚCI SPÓŁKA AKCYJNA,19301611,"Olsztyn, al. Marszałka Józefa Piłsudskiego 32, 10-578"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10205633,"Warszawa, ul. Puławska 15, 02-515"
Bank Polska Kasa Opieki Spółka Akcyjna,12403350,"Żyrardów, ul. 1 Maja 11, 96-300"
ING Bank Śląski Spółka Akcyjna,10501168,"Myszków, ul. Kopernika 4, 42-300"
Bank Spółdzielczy w Tarnobrzegu,94341041,"Lipnik, Lipnik 21, 37-644"
Bank Polska Kasa Opieki Spółka Akcyjna,12406595,"Poznań, ul. Stary Rynek 97/98, 61-773"
Bank Gospodarstwa Krajowego,11301189,"Olsztyn, ul. Dąbrowszczaków 21, 10-540"
Bank Polska Kasa Opieki Spółka Akcyjna,12402148,"Sulejówek, ul. Reymonta 43, 05-070"
Bank Polska Kasa Opieki Spółka Akcyjna,12405817,"Czersk, ul. Józefa Ostrowskiego 2, 89-650"
Bank Spółdzielczy w Głogówku,89040001,"Głogówek, Rynek 20A, 48-250"
BNP Paribas Bank Polska Spółka Akcyjna,17501295,"Bełchatów, ul. Kościuszki 14, 97-400"
Bank Spółdzielczy w Przasnyszu,89240007,"Przasnysz, ul. Słowackiego 1, 06-300"
Bank Polska Kasa Opieki Spółka Akcyjna,12402920,"Gdańsk, ul. Ogarna 116, 80-826"
Bank Polska Kasa Opieki Spółka Akcyjna,12402887,"Warszawa, Plac Bankowy 2, 00-095"
Bank Spółdzielczy w Dynowie,90931046,"Krzywcza, Krzywcza 105, 37-755"
Bank Spółdzielczy w Cieszynie,81131020,"Goleszów, ul. 1 Maja 4, 43-440"
Bank Spółdzielczy w Raciążu,82180003,"Gąsocin, ul. Główna 23, 06-440"
ING Bank Śląski Spółka Akcyjna,10500350,"Katowice, ul. Chorzowska 50, 41-101"
Bank Spółdzielczy w Ożarowie,94230000,"Ożarów, ul. Długa 14, 27-530"
Bank Polska Kasa Opieki Spółka Akcyjna,12405439,"Gdańsk, ul. Piecewska 31, 80-288"
Powiatowy Bank Spółdzielczy w Zamościu,96440007,"Zamość, ul. Partyzantów 3A, 22-400"
BNP Paribas Bank Polska Spółka Akcyjna,17501309,"Wałbrzych, ul. Główna 8C, 58-309"
Bank Spółdzielczy w Kostrzynie,90751019,"Nekla, ul. Zawodzie 18A, 62-330"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10204274,"Przemyśl, ul. Mickiewicza 2, 37-700"
Bank Spółdzielczy w Namysłowie,88901011,"Domaszowice, ul. Strzelecka 3B, 46-146"
Bank Spółdzielczy w Kłodzku,95230001,"Kłodzko, pl. Chrobrego 4, 57-300"
ING Bank Śląski Spółka Akcyjna,10500086,"Warszawa, ul. Puławska 2, 02-566"
ING Bank Śląski Spółka Akcyjna,10501083,"Cieszyn, ul. Mennicza 1, 43-400"
Bank Spółdzielczy w Białobrzegach,91170000,"Białobrzegi, ul. Szkolna 6, 26-800"
Orzesko-Knurowski Bank Spółdzielczy  z siedzibą w Knurowie,84541079,"Gliwice, ul. Jasnogórska 7, 44-100"
Bank Gospodarstwa Krajowego,11301163,"Łódź, ul. Łąkowa 29, 90-554"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,14401127,"Kraków, ul. Długa 12, 31-146"
Bank Spółdzielczy w Brodnicy,94841206,"Elbląg, ul. 12 Lutego 25, 82-300"
Bank Spółdzielczy w Chojnie,93700007,"Chojna, ul. Jagiellońska 9, 74-500"
Bank Polska Kasa Opieki Spółka Akcyjna,12403493,"Bydgoszcz, pl. Teatralny 4, 85-069"
ING Bank Śląski Spółka Akcyjna,10501201,"Ostrów Wielkopolski, ul. Kolejowa 31, 63-400"
Skandinaviska Enskilda Banken AB (Spółka Akcyjna) - Oddział w Polsce,23700008,"Warszawa, ul. Żelazna 51/53, 00-841"
Spółdzielczy Bank Ludowy w Zakrzewie,89440003,"Zakrzewo, ul. Dworcowa 4, 77-424"
Santander Bank Polska Spółka Akcyjna,10901245,"Leszno, ul. Słowiańska 33, 64-100"
Bank Polska Kasa Opieki Spółka Akcyjna,12403347,"Łowicz, ul. Podrzeczna 22, 99-400"
Bank Spółdzielczy w Radzyniu Podlaskim,80461041,"Ulan, Ulan 58, 21-307"
Bank Spółdzielczy we Wronkach,89611012,"Obrzycko, Rynek 15, 64-520"
Bank Gospodarstwa Krajowego,11301235,"Kraków, ul. Promienistych 1, 31-481"
Bank Polska Kasa Opieki Spółka Akcyjna,12401141,"Biała Podlaska, ul. Gabriela Narutowicza 12, 21-500"
BNP Paribas Bank Polska Spółka Akcyjna,16001169,"Ząbki, ul. Powstańców 27 lok U3, 05-091"
VIVA PAYMENT SERVICES SPÓŁKA AKCYJNA ODDZIAŁ W POLSCE,61100006,"Warszawa, ul. Skierniewicka 10a, 01-230"
Powiatowy Bank Spółdzielczy w Złotoryi,86581019,"Świerzawa, Plac Wolności 10, 59-540"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10202746,"Konin, ul. 11 Listopada 20A, 62-510"
Santander Bank Polska Spółka Akcyjna,15001458,"Kielce, ul. Warszawska 28, 25-312"
Bank Polska Kasa Opieki Spółka Akcyjna,12401734,"Kutno, ul. 29 Listopada 15, 99-300"
ING Bank Śląski Spółka Akcyjna,10501748,"Legnica, ul. Wrocławska 27, 59-220"
DNB Bank Polska Spółka Akcyjna,13701011,"Warszawa, ul. Postępu 15C, 02-676"
Powiatowy Bank Spółdzielczy w Kędzierzynie-Koźlu,88821016,"Polska Cerekiew, ul. Rynek 12, 47-260"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10205385,"Biłgoraj, ul. Ogrodowa 14, 23-400"
Bank Spółdzielczy w Stegnie,83080001,"Stegna, ul. Lipowa 8, 82-103"
Bank Spółdzielczy w Bydgoszczy,81421020,"Białe Błota, ul. Guliwera 13, 86-005"
Bank Spółdzielczy w Mińsku Mazowieckim,92260005,"Mińsk Mazowiecki, ul. Piłsudskiego 6, 05-300"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,14401101,"Warszawa, ul. Chłodna 52, 00-872"
Spółdzielczy Bank Rzemiosła i Rolnictwa w Wołominie w upadłości likwidacyjnej,80060000,"Wołomin, ul. Wąska 18, 05-200"
Mazovia Bank Spółdzielczy,91970004,"Sobienie Jeziory, Duży Rynek 17, 08-443"
Bank Spółdzielczy w Wartkowicach,92710005,"Wartkowice, ul. Targowa 12, 99-220"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10203121,"Gostyń, ul. św. Floriana 1, 63-800"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10200120,"Gdańsk, ul. Marynarki Polskiej 59, 80-557"
Bank Spółdzielczy w Chojnie,93701033,"Mieszkowice, ul. Plac Wolności 1, 74-505"
Bank Ochrony Środowiska Spółka Akcyjna,15400017,"Warszawa, al. Jana Pawła II 12, 00-950"
Bank Ochrony Środowiska Spółka Akcyjna,15401229,"Opole, ul. Krakowska 40, 45-018"
Bank Spółdzielczy w Gilowicach,81410008,"Gilowice, pl. Bankowy 1, 34-322"
SGB-Bank Spółka Akcyjna,16101191,"Gdynia, ul. Bytomska 24, 81-509"
Bank Spółdzielczy w Raciborzu,84751016,"Kietrz, ul. Głubczycka 14, 48-130"
Bank Spółdzielczy w Szczytnie,88381015,"Jedwabno, ul. Olsztyńska 2, 12-122"
Bank Spółdzielczy w Szczytnie,88381044,"Dźwierzuty, ul. Kajki 1, 12-120"
Bank Ochrony Środowiska Spółka Akcyjna,15401069,"Włocławek, ul. Tadeusza Kościuszki 20, 87-800"
Bank Spółdzielczy w Żurawicy,91131043,"Laszki, Laszki 37, 37-543"
Bank Spółdzielczy w Chojnie,93701059,"Stare Czarnowo, ul. Szczecińska 45A, 74-106"
Bank Polska Kasa Opieki Spółka Akcyjna,12405602,"Bartoszyce, pl. Konstytucji 3 Maja 31A, 11-200"
InoBank Bank Spółdzielczy w Inowrocławiu,81490000,"Inowrocław, ul. Solankowa 11, 88-100"
Bank Polska Kasa Opieki Spółka Akcyjna,12406162,"Warszawa, al. Gen.A.Chruściela 28, 04-401"
POZNAŃSKI BANK SPÓŁDZIELCZY,90431083,"Leszno, ul. Słowiańska 29, 64-100"
Bank Spółdzielczy w Żurawicy,91131027,"Orły, Orły 52, 37-716"
Bank Spółdzielczy w Skoczowie,81261033,"Chybie, ul. Bielska 47, 43-520"
Bank Spółdzielczy w Szadku,92690004,"Szadek, ul. Sieradzka 14a, 98-240"
Santander Bank Polska Spółka Akcyjna,15000028,"Warszawa, ul. Kasprzaka 2/8, 01-211"
Bank Spółdzielczy w Węgorzewie,93481010,"Banie Mazurskie, ul. Konopnickiej 55, 19-520"
Bank Spółdzielczy w Strzyżowie,91680004,"Strzyżów, ul. Słowackiego 36, 38-100"
Bank Spółdzielczy w Ostrowi Mazowieckiej,89231063,"Brańszczyk, ul. Jana Pawła II 54, 07-221"
